Code,Latitude,Longitude,Area
9800,31.98792906,34.75745031,South
9700,31.321891,34.633948,South
9650,31.410595,34.571191,South
9600,31.51523,34.586183,South
9200,32.17027053,34.90155447,Center
9100,31.94894702,34.8026769,Center
9000,31.89123559,34.73154036,Center
8800,32.12081396,34.9347874,Center
8700,32.16747612,34.91737666,Center
8600,32.00073373,34.87072874,Center
8550,31.36986508,34.7982778,South
7500,31.06914215,35.01187611,South
7320,31.24328539,34.79839533,South
7300,31.26202196,34.80928381,South
7000,31.60348136,34.77791873,South
6700,31.74781315,35.18816146,Jerusalem
6500,31.74495284,35.17813291,Jerusalem
6300,31.75780777,34.98951853,Jerusalem
5900,31.67673853,34.60485148,South
5800,31.77401406,34.66607186,South
5300,31.93291329,34.8286168,Center
5200,31.90864822,34.80640457,Center
5150,31.96700826,34.87871889,Center
5010,31.92883758,34.87725704,Center
5000,31.94718144,34.879611,Center
4800,31.99319267,34.85301532,Center
4690,32.0009341,34.75948739,Center
4680,32.01459119,34.76211643,Center
4660,32.03541214,34.75970608,Center
4640,32.03711211,34.77647898,Center
4600,32.07351575,34.79321156,Center
4250,32.1120646,34.90129706,Center
4170,32.10620082,34.86317272,Center
4100,32.10309886,34.83014376,Center
3700,32.0838827,34.79832291,Center
3600,32.10366119,34.80461316,Center
3500,32.16380407,34.81844814,Center
3400,32.26248917,34.8601157,Center
3310,32.278789,34.865261,Center
3300,32.32003215,34.86924338,Center
3100,32.43822138,34.89936548,North
2820,32.48536667,34.95406076,North
2800,32.51448467,34.94999134,North
2500,32.69289501,34.94043965,North
2300,32.79353924,34.95753144,North
2200,32.83061007,34.98187014,North
1600,33.00501673,35.09872242,North
1500,32.92829346,35.08295984,North
1300,32.80943953,35.05452502,North
1280,32.515045,35.488278,North
1260,32.621368,35.294197,North
1250,32.64816,35.208421,North
1240,32.681534,35.124919,North
1220,32.79389181,35.03715201,North
1400,32.83308122,35.06994745,North
700,32.82487368,35.06429677,North
400,31.90119233,35.0057443,Center
300,31.89366159,34.96079059,Center
2100,32.82222905,34.9971028,North
1820,32.8622708,35.1223181,North
1840,32.923722,35.3001157,North
2960,34.886196,32.172592,Center
2940,34.850805,32.180012,Center
680,31.7881805,35.2024441,Jerusalem
6150,31.755331,34.823378,South
6900,31.842165,34.855981,South